iter	Logloss	Accuracy
314	0.3489171207	0.85375
315	0.3487151404	0.855
316	0.3485503321	0.855
317	0.3480881515	0.85625
318	0.34795005	0.85625
319	0.3477537076	0.85625
320	0.3476247903	0.85625
321	0.34725802	0.85625
322	0.3469326058	0.85625
323	0.3468393173	0.85625
324	0.3463554333	0.85625
325	0.3456582121	0.85625
326	0.3454136081	0.85625
327	0.3451209778	0.85625
328	0.3450652583	0.85625
329	0.344964103	0.85625
330	0.3442826172	0.85625
331	0.3441170135	0.85625
332	0.3436623798	0.85625
333	0.3429654593	0.8575
334	0.3428728121	0.8575
335	0.3423449066	0.86
336	0.3420241111	0.86125
337	0.3419171602	0.86125
338	0.3418884839	0.86125
339	0.3416197414	0.8625
340	0.3410323822	0.86125
341	0.3406466006	0.86125
342	0.3401626103	0.86
343	0.3399119081	0.86
344	0.3397429703	0.86
345	0.3394476474	0.85875
346	0.3393052619	0.85875
347	0.3391768278	0.85875
348	0.3390165862	0.86
349	0.338934337	0.86
350	0.3385715192	0.86
351	0.3381810986	0.86
352	0.3381127781	0.86
353	0.3379887358	0.86
354	0.3378249151	0.86125
355	0.3377971466	0.86125
356	0.3374724815	0.86125
357	0.3372678718	0.86125
358	0.3371688366	0.86125
359	0.3369769785	0.86
360	0.3367786204	0.8625
361	0.3363176647	0.865
362	0.3360701631	0.865
363	0.3358220203	0.86625
364	0.3350431669	0.86625
365	0.3348285302	0.86625
366	0.3347322346	0.865
367	0.334541507	0.86625
368	0.3336329805	0.86875
369	0.3328909752	0.87
370	0.3326042761	0.87
371	0.3321318065	0.8725
372	0.331902154	0.8725
373	0.3318882738	0.8725
374	0.3316420741	0.8725
375	0.3316077738	0.8725
376	0.3308286932	0.875
377	0.3307106401	0.875
378	0.3304513485	0.875
379	0.3301375648	0.87625
380	0.3300072424	0.87625
381	0.3297939186	0.87625
382	0.3295840421	0.87875
383	0.3294207096	0.87875
384	0.3293566631	0.8775
385	0.3291889347	0.8775
386	0.3288639949	0.87875
387	0.3288013211	0.87875
388	0.3286301214	0.87875
389	0.3284083689	0.87875
390	0.3282093528	0.87875
391	0.3277633465	0.87875
392	0.3272715193	0.87875
