iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
196	231	280	231	340	231	280	340
197	231	280	231	340	231	280	340
198	231	279	231	340	231	279	340
199	231	279	231	340	231	279	340
200	231	279	231	340	231	279	340
201	231	279	231	340	231	279	340
202	231	279	231	340	231	279	340
203	231	279	231	340	231	279	340
204	231	279	231	340	231	279	340
205	231	279	231	340	231	279	340
206	231	279	231	340	231	279	340
207	231	279	231	340	231	279	340
208	231	279	231	340	231	279	340
209	231	280	231	340	231	280	340
210	231	280	231	340	231	280	340
211	231	280	231	340	231	280	340
212	231	280	231	340	231	280	340
213	231	280	231	340	231	280	340
214	231	280	231	340	231	280	340
215	231	280	231	340	231	280	340
216	231	279	231	340	231	279	340
217	231	279	231	340	231	279	340
218	231	279	231	340	231	279	340
219	231	279	231	340	231	279	340
220	231	279	231	340	231	279	340
221	231	279	231	340	231	279	340
222	231	279	231	340	231	279	340
223	231	279	231	340	231	279	340
224	231	279	231	340	231	279	340
225	231	279	231	340	231	279	340
226	231	279	231	340	231	279	340
227	231	279	231	340	231	279	340
228	231	279	231	340	231	279	340
229	231	279	231	340	231	279	340
230	231	279	231	340	231	279	340
231	231	279	231	340	231	279	340
232	231	279	231	340	231	279	340
233	231	279	231	340	231	279	340
234	231	279	231	340	231	279	340
235	231	279	231	340	231	279	340
236	231	279	231	340	231	279	340
237	231	279	231	340	231	279	340
238	231	279	231	340	231	279	340
239	231	279	231	340	231	279	340
240	231	279	231	340	231	279	340
241	231	280	231	340	231	280	340
242	231	280	231	340	231	280	340
243	231	280	231	340	231	280	340
244	231	280	231	340	231	280	340
245	231	280	231	340	231	280	340
246	231	280	231	340	231	280	340
247	231	280	231	340	231	280	340
248	231	280	231	340	231	280	340
249	231	280	231	340	231	280	340
250	231	280	231	340	231	280	340
251	231	280	231	340	231	280	340
252	231	279	231	340	231	279	340
253	231	279	231	340	231	279	340
254	231	279	231	340	231	279	340
255	231	279	231	340	231	279	340
256	231	279	231	340	231	279	340
257	231	279	231	340	231	279	340
258	231	279	231	340	231	279	340
259	231	279	231	340	231	279	340
260	229	275	229	340	229	275	340
261	229	275	229	340	229	275	340
262	229	275	229	340	229	275	340
263	229	275	229	340	229	275	340
264	229	275	229	340	229	275	340
265	231	279	231	340	231	279	340
266	231	279	231	340	231	279	340
267	231	279	231	340	231	279	340
268	231	279	231	340	231	279	340
269	231	279	231	340	231	279	340
270	231	279	231	340	231	279	340
271	230	278	230	340	230	278	340
272	229	275	229	340	229	275	340
273	229	275	229	340	229	275	340
274	229	275	229	340	229	275	340
275	229	275	229	340	229	275	340
276	229	275	229	340	229	275	340
277	229	275	229	340	229	275	340
278	229	275	229	340	229	275	340
279	229	275	229	340	229	275	340
280	229	275	229	340	229	275	340
281	229	275	229	340	229	275	340
282	229	275	229	340	229	275	340
283	229	275	229	340	229	275	340
284	229	275	229	340	229	275	340
285	229	275	229	340	229	275	340
286	229	275	229	340	229	275	340
287	229	275	229	340	229	275	340
288	229	275	229	340	229	275	340
289	229	275	229	340	229	275	340
290	230	276	230	340	230	276	340
291	230	276	230	340	230	276	340
292	230	276	230	340	230	276	340
293	230	276	230	340	230	276	340
294	230	276	230	340	230	276	340
295	230	276	230	340	230	276	340
296	230	276	230	340	230	276	340
297	230	277	230	340	230	277	340
298	230	277	230	340	230	277	340
299	230	277	230	340	230	277	340
300	231	277	231	340	231	277	340
301	231	277	231	340	231	277	340
302	231	277	231	340	231	277	340
303	231	277	231	340	231	277	340
304	231	277	231	340	231	277	340
305	231	278	231	340	231	278	340
306	231	278	231	340	231	278	340
307	231	278	231	340	231	278	340
308	230	276	230	340	230	276	340
309	230	276	230	340	230	276	340
310	230	276	230	340	230	276	340
311	228	273	228	340	228	273	340
312	229	274	229	340	229	274	340
313	229	274	229	340	229	274	340
314	229	274	229	340	229	274	340
315	229	274	229	340	229	274	340
316	229	274	229	340	229	274	340
317	229	274	229	340	229	274	340
318	229	274	229	340	229	274	340
319	229	274	229	340	229	274	340
320	229	274	229	340	229	274	340
321	229	274	229	340	229	274	340
322	229	274	229	340	229	274	340
323	229	274	229	340	229	274	340
324	229	274	229	340	229	274	340
325	229	274	229	340	229	274	340
326	229	274	229	340	229	274	340
327	230	276	230	340	230	276	340
328	230	276	230	340	230	276	340
329	230	276	230	340	230	276	340
330	230	276	230	340	230	276	340
331	229	274	229	340	229	274	340
332	229	274	229	340	229	274	340
333	230	276	230	340	230	276	340
334	229	274	229	340	229	274	340
335	230	276	230	340	230	276	340
336	229	274	229	340	229	274	340
337	230	275	230	340	230	275	340
338	230	275	230	340	230	275	340
339	229	273	229	340	229	273	340
340	230	274	230	340	230	274	340
341	230	274	230	340	230	274	340
342	229	273	229	340	229	273	340
343	229	273	229	340	229	273	340
344	229	273	229	340	229	273	340
345	230	275	230	340	230	275	340
346	230	275	230	340	230	275	340
347	230	275	230	340	230	275	340
348	231	276	231	340	231	276	340
349	231	276	231	340	231	276	340
350	231	276	231	340	231	276	340
351	231	277	231	340	231	277	340
352	231	277	231	340	231	277	340
353	231	277	231	340	231	277	340
354	231	277	231	340	231	277	340
355	231	277	231	340	231	277	340
356	231	277	231	340	231	277	340
357	230	276	230	340	230	276	340
358	230	276	230	340	230	276	340
359	230	276	230	340	230	276	340
360	231	277	231	340	231	277	340
361	231	277	231	340	231	277	340
362	231	277	231	340	231	277	340
363	231	277	231	340	231	277	340
364	231	277	231	340	231	277	340
365	231	277	231	340	231	277	340
366	231	277	231	340	231	277	340
367	231	277	231	340	231	277	340
368	231	277	231	340	231	277	340
369	231	277	231	340	231	277	340
370	231	276	231	340	231	276	340
371	231	276	231	340	231	276	340
372	231	276	231	340	231	276	340
373	231	276	231	340	231	276	340
374	231	276	231	340	231	276	340
375	231	276	231	340	231	276	340
376	231	276	231	340	231	276	340
377	231	276	231	340	231	276	340
378	231	276	231	340	231	276	340
379	231	276	231	340	231	276	340
380	231	276	231	340	231	276	340
381	231	276	231	340	231	276	340
382	231	276	231	340	231	276	340
383	231	276	231	340	231	276	340
384	231	276	231	340	231	276	340
385	231	276	231	340	231	276	340
386	231	276	231	340	231	276	340
387	231	276	231	340	231	276	340
388	231	276	231	340	231	276	340
389	231	276	231	340	231	276	340
390	231	276	231	340	231	276	340
391	230	274	230	340	230	274	340
392	230	274	230	340	230	274	340
393	230	274	230	340	230	274	340
394	230	274	230	340	230	274	340
395	230	274	230	340	230	274	340
396	230	274	230	340	230	274	340
397	230	274	230	340	230	274	340
398	230	274	230	340	230	274	340
399	232	276	232	340	232	276	340
400	232	276	232	340	232	276	340
401	232	276	232	340	232	276	340
402	232	276	232	340	232	276	340
403	232	276	232	340	232	276	340
404	232	276	232	340	232	276	340
405	232	276	232	340	232	276	340
406	232	276	232	340	232	276	340
407	232	276	232	340	232	276	340
408	232	276	232	340	232	276	340
409	232	276	232	340	232	276	340
410	232	276	232	340	232	276	340
411	232	276	232	340	232	276	340
412	232	276	232	340	232	276	340
413	232	276	232	340	232	276	340
414	233	277	233	340	233	277	340
415	233	277	233	340	233	277	340
416	233	277	233	340	233	277	340
417	233	277	233	340	233	277	340
418	234	278	234	340	234	278	340
419	234	278	234	340	234	278	340
420	231	275	231	340	231	275	340
421	231	275	231	340	231	275	340
422	231	275	231	340	231	275	340
423	232	276	232	340	232	276	340
424	232	276	232	340	232	276	340
425	232	276	232	340	232	276	340
426	233	277	233	340	233	277	340
427	233	277	233	340	233	277	340
428	233	277	233	340	233	277	340
429	233	277	233	340	233	277	340
430	233	277	233	340	233	277	340
431	233	277	233	340	233	277	340
432	233	277	233	340	233	277	340
433	233	277	233	340	233	277	340
434	233	277	233	340	233	277	340
435	233	277	233	340	233	277	340
436	233	277	233	340	233	277	340
437	232	276	232	340	232	276	340
438	232	276	232	340	232	276	340
439	235	279	235	340	235	279	340
440	231	275	231	340	231	275	340
441	232	276	232	340	232	276	340
442	231	275	231	340	231	275	340
443	231	275	231	340	231	275	340
444	230	274	230	340	230	274	340
445	231	275	231	340	231	275	340
446	232	276	232	340	232	276	340
447	231	275	231	340	231	275	340
448	231	275	231	340	231	275	340
449	231	275	231	340	231	275	340
450	232	276	232	340	232	276	340
451	234	278	234	340	234	278	340
452	234	278	234	340	234	278	340
453	233	277	233	340	233	277	340
454	233	277	233	340	233	277	340
455	233	277	233	340	233	277	340
456	233	277	233	340	233	277	340
457	233	277	233	340	233	277	340
458	235	279	235	340	235	279	340
459	233	277	233	340	233	277	340
460	235	279	235	340	235	279	340
461	235	279	235	340	235	279	340
462	233	277	233	340	233	277	340
463	233	277	233	340	233	277	340
464	233	277	233	340	233	277	340
465	233	277	233	340	233	277	340
466	233	277	233	340	233	277	340
467	233	277	233	340	233	277	340
468	233	277	233	340	233	277	340
469	233	277	233	340	233	277	340
470	233	277	233	340	233	277	340
471	233	277	233	340	233	277	340
472	233	276	233	340	233	276	340
473	233	276	233	340	233	276	340
474	233	276	233	340	233	276	340
475	233	276	233	340	233	276	340
476	233	276	233	340	233	276	340
477	233	276	233	340	233	276	340
478	232	275	232	340	232	275	340
479	232	275	232	340	232	275	340
480	232	275	232	340	232	275	340
481	232	275	232	340	232	275	340
482	231	271	231	340	231	271	340
483	232	272	232	340	232	272	340
484	232	272	232	340	232	272	340
485	232	272	232	340	232	272	340
486	232	272	232	340	232	272	340
487	232	272	232	340	232	272	340
488	232	272	232	340	232	272	340
489	232	272	232	340	232	272	340
490	232	272	232	340	232	272	340
491	231	271	231	340	231	271	340
492	232	272	232	340	232	272	340
493	232	272	232	340	232	272	340
494	232	272	232	340	232	272	340
495	232	272	232	340	232	272	340
496	232	272	232	340	232	272	340
497	232	272	232	340	232	272	340
498	232	272	232	340	232	272	340
499	232	272	232	340	232	272	340
500	232	272	232	340	232	272	340
501	232	272	232	340	232	272	340
502	232	272	232	340	232	272	340
503	231	271	231	340	231	271	340
504	232	272	232	340	232	272	340
505	232	272	232	340	232	272	340
506	232	272	232	340	232	272	340
507	232	272	232	340	232	272	340
508	231	271	231	340	231	271	340
509	233	273	233	340	233	273	340
510	233	273	233	340	233	273	340
511	231	271	231	340	231	271	340
512	231	271	231	340	231	271	340
513	231	271	231	340	231	271	340
514	231	271	231	340	231	271	340
515	231	271	231	340	231	271	340
516	231	272	231	340	231	272	340
517	230	271	230	340	230	271	340
518	231	272	231	340	231	272	340
519	230	271	230	340	230	271	340
520	231	272	231	340	231	272	340
521	231	272	231	340	231	272	340
522	233	274	233	340	233	274	340
523	233	274	233	340	233	274	340
524	233	274	233	340	233	274	340
525	233	274	233	340	233	274	340
526	233	274	233	340	233	274	340
527	233	274	233	340	233	274	340
528	233	274	233	340	233	274	340
529	233	274	233	340	233	274	340
530	233	274	233	340	233	274	340
531	233	274	233	340	233	274	340
532	233	274	233	340	233	274	340
533	233	274	233	340	233	274	340
534	233	274	233	340	233	274	340
535	233	274	233	340	233	274	340
536	233	274	233	340	233	274	340
537	233	274	233	340	233	274	340
538	233	274	233	340	233	274	340
539	233	274	233	340	233	274	340
540	233	274	233	340	233	274	340
541	233	274	233	340	233	274	340
542	233	274	233	340	233	274	340
543	233	274	233	340	233	274	340
544	233	274	233	340	233	274	340
545	234	275	234	340	234	275	340
546	233	274	233	340	233	274	340
547	235	276	235	340	235	276	340
548	235	276	235	340	235	276	340
549	235	276	235	340	235	276	340
550	235	276	235	340	235	276	340
551	235	276	235	340	235	276	340
552	235	276	235	340	235	276	340
553	235	276	235	340	235	276	340
554	235	276	235	340	235	276	340
555	235	276	235	340	235	276	340
556	235	276	235	340	235	276	340
557	235	275	235	340	235	275	340
558	235	275	235	340	235	275	340
559	235	275	235	340	235	275	340
560	235	275	235	340	235	275	340
